creator_id,periodo,periodo_inicio,periodo_fim,gmv_bruto,gmv_liquido,reembolso,refund_pct,pedidos,aov,videos,lives,comissao,tier,status_reembolso,comissao_calculada,_fonte,items_vendidos,items_reembolsados,media_diaria,amostras
ACHADINHOOSS.IMPERDIVEIS,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,3,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOPRIMEDODIA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOS3625,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSDAB.LO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSDALINESHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSDARAY._,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSDARAY15,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSDAROSE0,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSHOPDARE,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSKA_,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADINHOSVIVI23,2026-01,2026-01-06,2026-01-31,147.84,147.84,0.0,0.0,2,73.92,0,12,14.44,Ferro,sem_dado,7.39,tiktok_seller_center,2,0,1,0
ACHADINHOS_DA_GISA6,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADOSCAROLRICCI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADOSDADAI3,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADOSDASHOPPORMA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADOSDA_NANDA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHADOSEDUTTK,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ACHEIEI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ADAMOFICIAL5,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ADRIANAPORTOO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ADRIANESCASSIANO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ADRIELECATELLI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ADRIELLYINDICA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AELIZAGOULART,2026-01,2026-01-06,2026-01-31,821.2,737.58,83.62,10.18,9,91.24,2,0,77.19,Ferro,sem_dado,36.88,tiktok_seller_center,10,1,1,0
AGATHARHOFMANN,2026-01,2026-01-06,2026-01-31,239.95,239.95,0.0,0.0,2,119.98,0,0,23.58,Ferro,sem_dado,12.0,tiktok_seller_center,3,0,1,0
AGRANDE_REVELACAOFICIAL,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AKELLO.NUNES,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,8,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AKEZYA.SHOPCREATOR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALDEANAFREIRE,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALECRIMREGINA.27,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALEGRIALUZ,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALESSANDRASHOP3,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,6,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALEXANDRAMIRANDA72,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,9,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALEXANDRENASCIMENTOOOOO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALICEEFERP_,2026-01,2026-01-06,2026-01-31,79.9,0.0,79.9,100.0,1,79.9,0,2,7.19,Ferro,sem_dado,0.0,tiktok_seller_center,1,1,1,0
ALICEMARIAH41,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALINE.BUENO852,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALINE.SALGADO038,2026-01,2026-01-06,2026-01-31,89.5,89.5,0.0,0.0,1,89.5,0,0,7.99,Ferro,sem_dado,4.48,tiktok_seller_center,1,0,1,0
ALINECAVANELLAS,2026-01,2026-01-06,2026-01-31,26574.97,26491.350000000002,83.62,0.31,327,81.27,3,0,2634.85,Ouro,sem_dado,2914.05,tiktok_seller_center,335,1,1,1
ALINEMENDESPSI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,8,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ALLANAQSOARES,2026-01,2026-01-06,2026-01-31,79.9,79.9,0.0,0.0,1,79.9,0,0,7.99,Ferro,sem_dado,4.0,tiktok_seller_center,1,0,1,0
ALLINEECRIS,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMADARODRIGUES_,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,5,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMANDA.SHOPCREATOR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMANDAORBITE,2026-01,2026-01-06,2026-01-31,204.18,204.18,0.0,0.0,2,102.09,2,0,22.44,Ferro,sem_dado,10.21,tiktok_seller_center,3,0,1,0
AMANDASIMOESS0,2026-01,2026-01-06,2026-01-31,0.0,-79.99,79.99,0.0,0,0.0,0,6,0.0,Ferro,sem_dado,-4.0,tiktok_seller_center,0,1,0,0
AMANDASOUSAASHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,8,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMANDINHAINDICA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMARIMAMEDE,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMARISHOPCREATOR,2026-01,2026-01-06,2026-01-31,393.58,316.73,76.85,19.53,5,78.72,0,0,39.17,Ferro,sem_dado,15.84,tiktok_seller_center,5,1,1,0
AMIGAS_SHOP_,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMOACHADINHOS7,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AMORPORVIAGEMM,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,4,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANA.ALBERTINICREATOR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANA.JULIA9352,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANA.MAIA7842,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANA.QUIRINO4,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,2,6,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANAAPSOUZA_,2026-01,2026-01-06,2026-01-31,80.7,80.7,0.0,0.0,1,80.7,0,0,7.75,Ferro,sem_dado,4.04,tiktok_seller_center,1,0,1,0
ANAAYRESOFERTAS,2026-01,2026-01-06,2026-01-31,81.9,81.9,0.0,0.0,1,81.9,1,24,7.59,Ferro,sem_dado,4.1,tiktok_seller_center,1,0,1,0
ANACARLAMASS1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANACELIAOG25,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANACLA1189,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANALU.AGC,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANAPAULAMUNCHEN,2026-01,2026-01-06,2026-01-31,235.39,155.48999999999998,79.9,33.94,3,78.46,9,15,23.58,Ferro,sem_dado,7.77,tiktok_seller_center,3,1,1,0
ANAPEREIRA60041,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANAPINHEIIRO__,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANASHOP032,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANASHOP40,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANASHOPVENDAS,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANASHOP_BR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANAZIRMANN,2026-01,2026-01-06,2026-01-31,260.45,260.45,0.0,0.0,3,86.82,0,7,25.55,Ferro,sem_dado,13.02,tiktok_seller_center,3,0,1,0
ANDREA.EXUBERANCE,2026-01,2026-01-06,2026-01-31,81.75,81.75,0.0,0.0,1,81.75,0,0,7.99,Ferro,sem_dado,4.09,tiktok_seller_center,1,0,1,0
ANDREASCHAD1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANDREASERRAO2022,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANDRESSACARITA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANDREWSCIH,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANGEL.COM2023,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANGELA.OLIVEIRA04,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANGELAANDRADESOARESMARQ4,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANGELICAANTOS5,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,9,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ANNA.MLZB,2026-01,2026-01-06,2026-01-31,335.02,335.02,0.0,0.0,5,67.0,0,3,38.79,Ferro,sem_dado,16.75,tiktok_seller_center,5,0,1,0
ANNALUIZA.SHOP,2026-01,2026-01-06,2026-01-31,128.83,128.83,0.0,0.0,2,64.42,0,1,14.82,Ferro,sem_dado,6.44,tiktok_seller_center,2,0,1,0
APENASCLIQUE1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
APROVADOSSHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ARTSDREAMS183,2026-01,2026-01-06,2026-01-31,252.48,252.48,0.0,0.0,3,84.16,0,19,23.73,Ferro,sem_dado,12.62,tiktok_seller_center,4,0,1,0
ASSUCENAPASSARI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
ATANIACARNEIRO,2026-01,2026-01-06,2026-01-31,63.3,63.3,0.0,0.0,1,63.3,0,0,7.6,Ferro,sem_dado,3.17,tiktok_seller_center,1,0,1,0
AURORANEWERA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
AYUME18,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
B0HVYCEAQ4,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BARARDI1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BASTOSSANNA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BBRUALVESS,2026-01,2026-01-06,2026-01-31,632.24,632.24,0.0,0.0,8,79.03,2,0,61.6,Ferro,sem_dado,31.61,tiktok_seller_center,8,0,1,0
BEAMEIRAHSHOP,2026-01,2026-01-06,2026-01-31,67.88,-0.04000000000000625,67.92,100.06,1,67.88,0,15,6.39,Ferro,sem_dado,-0.0,tiktok_seller_center,1,1,1,0
BEAUTYBYJEN1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BECASHOPINDICA,2026-01,2026-01-06,2026-01-31,79.9,79.9,0.0,0.0,1,79.9,3,0,7.99,Ferro,sem_dado,4.0,tiktok_seller_center,1,0,1,0
BECCAJUMP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,6,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BELLASHOPPOFICIAL,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,3,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BELLASTORE086,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BEMYARA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BENJU047,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,4,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BENTOSHOP,2026-01,2026-01-06,2026-01-31,163.0,163.0,0.0,0.0,2,81.5,9,0,15.98,Ferro,sem_dado,8.15,tiktok_seller_center,2,0,1,0
BIALUZZMODAS,2026-01,2026-01-06,2026-01-31,6403.56,5409.18,994.38,15.53,76,84.26,1,0,633.3,Bronze,sem_dado,378.64,tiktok_seller_center,81,13,1,0
BIANCA.GTZ92,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BIANCACASTELLY0,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BIANCAOFI33,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BIATEIXAS23,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BIAVERSAODAILY,2026-01,2026-01-06,2026-01-31,221.94,221.94,0.0,0.0,3,73.98,3,0,23.2,Ferro,sem_dado,11.1,tiktok_seller_center,3,0,1,0
BICHINHOSIA3,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BILLY10137,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BLACKLIONTIKTOKSHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,3,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BLUEBIRD_C3,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BOASCOMPRAS.BR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BOOINDICA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,16,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BOTASEESTILO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,4,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRASILACHADOS_,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BREOLIVIERI,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRETASDANIELLE,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRTITOKSHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRUMORAES77,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRUNA.SHOPCREATOR,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BRUNARECHE5,2026-01,2026-01-06,2026-01-31,1847.81,1847.81,0.0,0.0,23,80.34,0,1,184.45,Ferro,sem_dado,92.39,tiktok_seller_center,25,0,3,0
BRUNASHOPTIKTOK10,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BYBELLASHOP2,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BYDIOVANA_LEAL,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,12,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
BYMAYELE,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CAIXADELEMBRANCAS,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CALINE_SHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CAMILASANTOS._,2026-01,2026-01-06,2026-01-31,156.48,156.48,0.0,0.0,2,78.24,1,0,14.44,Ferro,sem_dado,7.82,tiktok_seller_center,2,0,1,0
CAMILLA.MACEDO,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CARLACREATORR,2026-01,2026-01-06,2026-01-31,159.8,159.8,0.0,0.0,2,79.9,11,3,15.98,Ferro,sem_dado,7.99,tiktok_seller_center,2,0,1,0
CARLINHOSVENDASSHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CAROLINAASHOP,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0
CAROLINAMUNOZ.VS,2026-01,2026-01-06,2026-01-31,70.02,70.02,0.0,0.0,1,70.02,0,0,7.15,Ferro,sem_dado,3.5,tiktok_seller_center,1,0,1,0
